val/accuracy,val/f1,val/auc,val/youden,val/PPV,val/NPV,val/TPR,val/TNR,val/FPR,val/FNR,val/loss,val/primary_loss,val/fair_loss,epoch,step,train/accuracy,train/f1,train/auc,train/youden,train/PPV,train/NPV,train/TPR,train/TNR,train/FPR,train/FNR,train/loss,train/primary_loss,train/fair_loss
0.6642978191375732,0.7764759063720703,0.8637707792663252,0.5461808234551448,0.9856979250907898,0.19884009659290314,0.640520453453064,0.9056603908538818,0.09433962404727936,0.35947954654693604,0.16062341630458832,0.16062341630458832,0.0,0,261,,,,,,,,,,,,,
,,,,,,,,,,,,,0,261,0.7299283146858215,0.7326908111572266,0.8028451707028624,0.4598403659336614,0.7258669137954712,0.7341540455818176,0.7396442890167236,0.7201961278915405,0.27980390191078186,0.26035574078559875,0.13652274012565613,0.13652274012565613,0.0
0.5614213347434998,0.6848248839378357,0.8696710387879638,0.4705898856701971,0.9901546835899353,0.16373124718666077,0.5234200954437256,0.947169840335846,0.05283018946647644,0.4765799343585968,0.19850076735019684,0.19850076735019684,0.0,1,523,,,,,,,,,,,,,
,,,,,,,,,,,,,1,523,0.763201892375946,0.7671522498130798,0.8388403070136969,0.5262201656580274,0.7614272236824036,0.7650661468505859,0.7729640007019043,0.7532561421394348,0.246743842959404,0.2270359843969345,0.11807923763990402,0.11807923763990402,0.0
0.7529610991477966,0.8454699516296387,0.8784316476116995,0.6027565406466999,0.9818092584609985,0.24755699932575226,0.7423791885375977,0.8603773713111877,0.13962264358997345,0.25762081146240234,0.12002094089984894,0.12002094089984894,0.0,2,785,,,,,,,,,,,,,
,,,,,,,,,,,,,2,785,0.7675029635429382,0.7698675394058228,0.8445575423986479,0.5349428237406735,0.7657021880149841,0.7693614959716797,0.7740784883499146,0.7608643174171448,0.23913565278053284,0.22592152655124664,0.114286407828331,0.114286407828331,0.0
0.7384094595909119,0.8342979550361633,0.8861148909307709,0.6139861120852914,0.9853164553642273,0.24081632494926453,0.7234200835227966,0.8905660510063171,0.10943396389484406,0.27657991647720337,0.12758132815361023,0.12758132815361023,0.0,3,1047,,,,,,,,,,,,,
,,,,,,,,,,,,,3,1047,0.7841696739196777,0.7850044369697571,0.8623883329611806,0.5683298097185192,0.7841179370880127,0.784221887588501,0.7858930230140686,0.7824367880821228,0.217563197016716,0.2141069918870926,0.10838085412979126,0.10838085412979126,0.0
0.7722504138946533,0.859057605266571,0.886054569685067,0.6341516448060602,0.9836930632591248,0.2655172348022461,0.762453556060791,0.8716981410980225,0.12830188870429993,0.23754647374153137,0.12134555727243423,0.12134555727243423,0.0,4,1309,,,,,,,,,,,,,
,,,,,,,,,,,,,4,1309,0.795101523399353,0.7935724854469299,0.8787308675185397,0.5901708658775682,0.7967371344566345,0.7935026288032532,0.7904328107833862,0.7997380495071411,0.2002619355916977,0.20956720411777496,0.10264497250318527,0.10264497250318527,0.0
0.7069373726844788,0.8105033040046692,0.8834958266114892,0.5828154590727364,0.9851064085960388,0.22046512365341187,0.6884758472442627,0.8943396210670471,0.10566037893295288,0.3115241527557373,0.14142970740795135,0.14142970740795135,0.0,5,1571,,,,,,,,,,,,,
,,,,,,,,,,,,,5,1571,0.7991636991500854,0.7976648807525635,0.8797597466240803,0.5983019657879474,0.80181485414505,0.7965781688690186,0.7935576438903809,0.804744303226471,0.19525569677352905,0.20644234120845795,0.10184524953365326,0.10184524953365326,0.0
0.7197969555854797,0.8204683661460876,0.8863884407659395,0.5901381777372519,0.9843912720680237,0.22749273478984833,0.7033457159996033,0.8867924809455872,0.11320754885673523,0.29665428400039673,0.138825461268425,0.138825461268425,0.0,6,1833,,,,,,,,,,,,,
,,,,,,,,,,,,,6,1833,0.814874529838562,0.8136612176895142,0.8928191344532568,0.629757464916898,0.8195251822471619,0.8103488683700562,0.8078805804252625,0.8218768835067749,0.1781231313943863,0.19211940467357635,0.0977942943572998,0.0977942943572998,0.0
0.5637902021408081,0.6870599389076233,0.8782156133828996,0.47319211615346846,0.9902029633522034,0.16448231041431427,0.5260223150253296,0.947169840335846,0.05283018946647644,0.4739776849746704,0.18480749428272247,0.18480749428272247,0.0,7,2095,,,,,,,,,,,,,
,,,,,,,,,,,,,7,2095,0.7821983098983765,0.7820160388946533,0.8651120998090424,0.5643968768871714,0.7827647924423218,0.7816338539123535,0.7812686562538147,0.7831282019615173,0.21687178313732147,0.2187313288450241,0.10574793815612793,0.10574793815612793,0.0
0.7042301297187805,0.808080792427063,0.8818867924528302,0.5934488321526268,0.9871244430541992,0.22089825570583344,0.6840148568153381,0.9094339609146118,0.09056603908538818,0.31598514318466187,0.13717293739318848,0.13717293739318848,0.0,8,2357,,,,,,,,,,,,,
,,,,,,,,,,,,,8,2357,0.7896654605865479,0.7893004417419434,0.8706385401745421,0.5793411576999112,0.7920019030570984,0.7873529195785522,0.7866173386573792,0.7927237749099731,0.20727621018886566,0.21338263154029846,0.10311450809240341,0.10311450809240341,0.0
0.6994923949241638,0.8044052720069885,0.8828547380234272,0.5882443711860841,0.9870270490646362,0.21809954941272736,0.6788104176521301,0.9094339609146118,0.09056603908538818,0.3211895823478699,0.13922855257987976,0.13922855257987976,0.0,9,2619,,,,,,,,,,,,,
,,,,,,,,,,,,,9,2619,0.7994623780250549,0.7992824912071228,0.8817431376731626,0.5989322021201569,0.801342785358429,0.7975949645042419,0.7972328066825867,0.8016993999481201,0.19830061495304108,0.20276717841625214,0.09992071986198425,0.09992071986198425,0.0
0.6206429600715637,0.7388772368431091,0.8813944027495266,0.5254401346706881,0.9893949031829834,0.1834319531917572,0.5895910859107971,0.9358490705490112,0.06415094435214996,0.4104089140892029,0.1691308319568634,0.1691308319568634,0.0,10,2881,,,,,,,,,,,,,
,,,,,,,,,,,,,10,2881,0.7990441918373108,0.796565055847168,0.8788939402996696,0.5980700451137648,0.79473876953125,0.8032650947570801,0.798399806022644,0.7996702194213867,0.2003297656774521,0.20160019397735596,0.10104627907276154,0.10104627907276154,0.0
0.6480541229248047,0.7622313499450684,0.8790839587571019,0.5555516588342568,0.9899049997329712,0.19512194395065308,0.6197025775909424,0.9358490705490112,0.06415094435214996,0.38029739260673523,0.1564863622188568,0.1564863622188568,0.0,11,3143,,,,,,,,,,,,,
,,,,,,,,,,,,,11,3143,0.7819593548774719,0.7829189896583557,0.8641444648730129,0.5639217522382607,0.7841315269470215,0.7797747254371643,0.7817102074623108,0.7822115421295166,0.2177884578704834,0.2182897925376892,0.10700106620788574,0.10700106620788574,0.0
