val/accuracy,val/PPV,val/NPV,val/TPR,val/TNR,val/f1,val/auroc,val/accuracy_group_0,val/accuracy_group_1,val/disease_prevalence_group_0,val/disease_prevalence_group_1,val/prevalence_group_0,val/prevalence_group_1,val/auc_group_0,val/auc_group_1,val/tpr_group_0,val/tpr_group_1,val/tnr_group_0,val/tnr_group_1,val/balanced_acc_group_0,val/balanced_acc_group_1,val/loss,epoch,step,train/accuracy,train/PPV,train/NPV,train/TPR,train/TNR,train/f1,train/auroc,train/accuracy_group_0,train/accuracy_group_1,train/disease_prevalence_group_0,train/disease_prevalence_group_1,train/prevalence_group_0,train/prevalence_group_1,train/auc_group_0,train/auc_group_1,train/tpr_group_0,train/tpr_group_1,train/tnr_group_0,train/tnr_group_1,train/balanced_acc_group_0,train/balanced_acc_group_1,train/loss,test/accuracy,test/PPV,test/NPV,test/TPR,test/TNR,test/f1,test/auroc,test/accuracy_group_0,test/accuracy_group_1,test/disease_prevalence_group_0,test/disease_prevalence_group_1,test/prevalence_group_0,test/prevalence_group_1,test/auc_group_0,test/auc_group_1,test/tpr_group_0,test/tpr_group_1,test/tnr_group_0,test/tnr_group_1,test/balanced_acc_group_0,test/balanced_acc_group_1,test/loss
0.7341092228889465,0.25833332538604736,0.8643101453781128,0.3425414264202118,0.80982905626297,0.294536828994751,0.7571362799263353,0.8091921806335449,0.5989974737167358,0.10167130919220056,0.2706766917293233,0.6427931960608774,0.35720680393912263,0.7881915684400552,0.6568346697212677,0.2876712381839752,0.37962964177131653,0.8682170510292053,0.6804123520851135,0.5779441435701391,0.5300210003818251,0.8970972895622253,0,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,124,0.8390862345695496,0.2556634247303009,0.8626273274421692,0.06984969228506088,0.9663546085357666,0.10972221940755844,0.7392991878953623,0.8853027820587158,0.7182395458221436,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.7511141742943446,0.6833542864616071,0.0660550445318222,0.07337883859872818,0.9708700776100159,0.9517923593521118,0.5184625555153122,0.5125855879039981,0.8868722319602966,,,,,,,,,,,,,,,,,,,,,,
0.8402426838874817,0.5277777910232544,0.8934911489486694,0.45783132314682007,0.9173754453659058,0.4903225898742676,0.8544115709496553,0.8677563071250916,0.7816455960273743,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8391400326326903,0.8357105870168997,0.3478260934352875,0.5360824465751648,0.9271523356437683,0.8904109597206116,0.6374892024186583,0.7132467165654568,0.6868649125099182,1,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,249,0.8633111715316772,0.5905172228813171,0.8714932203292847,0.12113174051046371,0.9861029982566833,0.20102714002132416,0.8113247130317004,0.9071664214134216,0.7486388087272644,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8206177627900599,0.7550414070377198,0.11926605552434921,0.12286689132452011,0.9894595742225647,0.9752781391143799,0.5543628090484245,0.5490725076675793,0.6560648679733276,,,,,,,,,,,,,,,,,,,,,,
0.8493427634239197,0.6808510422706604,0.8577494621276855,0.1927710771560669,0.9817739725112915,0.3004694879055023,0.8671331742522947,0.8989598751068115,0.7436708807945251,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8583357327958537,0.8394765334463117,0.11594203114509583,0.24742268025875092,0.9884105920791626,0.9634703397750854,0.5521763125059986,0.6054465000235372,0.5966501235961914,2,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2,374,0.8644407987594604,0.5789473652839661,0.8765044212341309,0.16534040868282318,0.9801053404808044,0.2572214603424072,0.8365094245423536,0.9057782292366028,0.7563520669937134,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.846827319687321,0.7826320363487558,0.15229357779026031,0.17747440934181213,0.9844768047332764,0.96600741147995,0.5683851945101818,0.5717409096470172,0.6093840599060059,,,,,,,,,,,,,,,,,,,,,,
0.8543983697891235,0.6571428775787354,0.8694232702255249,0.27710843086242676,0.9708383679389954,0.38983049988746643,0.875828953724985,0.9004457592964172,0.7563291192054749,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8812266052404261,0.8242715247375607,0.15942029654979706,0.36082473397254944,0.9850993156433105,0.931506872177124,0.5722598138017084,0.6461657957915549,0.634038507938385,3,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,3,499,0.8638132214546204,0.5701219439506531,0.8764235973358154,0.16534040868282318,0.9793739318847656,0.256339967250824,0.8420608584396644,0.9061253070831299,0.7531760334968567,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8528002925652559,0.7875932871239512,0.15596330165863037,0.17406143248081207,0.9844768047332764,0.9629172086715698,0.5702200568955028,0.5684893075764543,0.5526545643806458,,,,,,,,,,,,,,,,,,,,,,
0.8604651093482971,0.6399999856948853,0.8852643370628357,0.3855421543121338,0.9562575817108154,0.48120301961898804,0.8736696482161941,0.8945022225379944,0.7879746556282043,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8649102601017372,0.8403238713929295,0.2028985470533371,0.5154638886451721,0.9735099077224731,0.9086757898330688,0.588204242249736,0.7120698583062656,0.5387640595436096,4,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4,624,0.8665746450424194,0.5955055952072144,0.8792536854743958,0.1874447464942932,0.9789350628852844,0.2851378619670868,0.848290813858498,0.9087281227111816,0.7563520669937134,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8614323741740835,0.7858203571594308,0.17981651425361633,0.19453924894332886,0.9848601222038269,0.9598269462585449,0.5823383067082541,0.5771830979973591,0.5486987829208374,,,,,,,,,,,,,,,,,,,,,,
0.8473204970359802,0.5555555820465088,0.8934426307678223,0.4518072307109833,0.9270960092544556,0.49833887815475464,0.864088187500915,0.8841010332107544,0.7689873576164246,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8522650926192533,0.8294497010780022,0.37681159377098083,0.5051546096801758,0.942052960395813,0.8858447670936584,0.6594322871676744,0.6954996940168525,0.6387616395950317,5,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5,749,0.8682063221931458,0.6103542447090149,0.8806579113006592,0.19805482029914856,0.9790813326835632,0.29906541109085083,0.8551024145846687,0.9069929122924805,0.7667876482009888,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8673420516841842,0.7976750465117259,0.17431192100048065,0.22013652324676514,0.9835186004638672,0.9647713303565979,0.5789152580516983,0.5924539206959251,0.5421268343925476,,,,,,,,,,,,,,,,,,,,,,
0.856420636177063,0.6052631735801697,0.8891428709030151,0.41566264629364014,0.9453219771385193,0.4928571283817291,0.8625290957267711,0.8959881067276001,0.7721518874168396,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8603752759381899,0.827190133220355,0.30434781312942505,0.49484536051750183,0.9635761380195618,0.8949771523475647,0.633961992513677,0.694911264887257,0.5350301861763,6,874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6,874,0.8674532175064087,0.5974025726318359,0.8811659216880798,0.20335985720157623,0.9773259162902832,0.30343008041381836,0.8536376307052848,0.9071664214134216,0.7636116147041321,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8640204514366291,0.7960824681378855,0.18715596199035645,0.2184300273656845,0.9823687076568604,0.961063027381897,0.58476234347583,0.5897465374603965,0.5201637744903564,,,,,,,,,,,,,,,,,,,,,,
0.8614762425422668,0.6090225577354431,0.9007009267807007,0.4879518151283264,0.9368165135383606,0.5418060421943665,0.8437028795619904,0.8885586857795715,0.8037974834442139,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8194164507150398,0.8322270865696936,0.37681159377098083,0.5670102834701538,0.9470198750495911,0.9086757898330688,0.6619157308762837,0.7378430541825542,0.6627893447875977,7,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7,999,0.8689594864845276,0.6147757172584534,0.881655216217041,0.20601238310337067,0.978642463684082,0.308609277009964,0.8567618562776047,0.9085545539855957,0.765426516532898,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8689138866520618,0.7970960229837536,0.1908256858587265,0.22013652324676514,0.9835186004638672,0.9629172086715698,0.5871721387856432,0.5915268502385703,0.5232827067375183,,,,,,,,,,,,,,,,,,,,,,
0.8574317693710327,0.6470588445663452,0.877212405204773,0.3313252925872803,0.9635480046272278,0.43824702501296997,0.8701781610036745,0.8945022225379944,0.7784810066223145,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8684134753815146,0.8293555524172669,0.2028985470533371,0.42268040776252747,0.9735099077224731,0.9360730648040771,0.588204242249736,0.6793767358659323,0.7083431482315063,8,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8,1124,0.8659470081329346,0.5858310461044312,0.8794736862182617,0.19009725749492645,0.9777647852897644,0.28704941272735596,0.8562523831031327,0.906298816204071,0.7604355812072754,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8685970581719595,0.7960307884423107,0.17247706651687622,0.20648464560508728,0.9829436540603638,0.961063027381897,0.5777103603967917,0.5837738412146627,0.5240559577941895,,,,,,,,,,,,,,,,,,,,,,
0.8624873757362366,0.6704545617103577,0.8812430500984192,0.35542169213294983,0.9647630453109741,0.4645669162273407,0.875111625115285,0.8959881067276001,0.7911392450332642,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8745560994337269,0.8342983571058702,0.18840579688549042,0.47422680258750916,0.9768211841583252,0.931506872177124,0.5826134945772147,0.7028668267193898,0.558242917060852,9,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,9,1249,0.8685829043388367,0.5958904027938843,0.8844467997550964,0.23076923191547394,0.9741076827049255,0.33269599080085754,0.8596776492475733,0.9097692370414734,0.7608892917633057,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8760240663054142,0.7951121554862741,0.2366972416639328,0.22525596618652344,0.9800689816474915,0.9548825621604919,0.6083831198286805,0.5900692718858237,0.5014824271202087,,,,,,,,,,,,,,,,,,,,,,
0.8624873757362366,0.6293103694915771,0.8934707641601562,0.4397590458393097,0.9477521181106567,0.5177304744720459,0.8780321773119208,0.901931643486023,0.7784810066223145,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8763077070736155,0.8450313044296944,0.37681159377098083,0.4845360815525055,0.9619205594062805,0.9086757898330688,0.6693660620021116,0.6966059407804924,0.5068109631538391,10,1374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,10,1374,0.8685829043388367,0.5976744294166565,0.8840387463569641,0.22723253071308136,0.9746928215026855,0.32927611470222473,0.8590081169074734,0.907860517501831,0.7658802270889282,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.874187445715431,0.7938307099735484,0.21284404397010803,0.24061433970928192,0.980452299118042,0.956118643283844,0.5966481586322574,0.5983664997447655,0.5119857788085938,,,,,,,,,,,,,,,,,,,,,,
