val/accuracy,val/f1,val/auc,val/youden,val/PPV,val/NPV,val/TPR,val/TNR,val/FPR,val/FNR,val/loss,val/primary_loss,val/fair_loss,epoch,step,train/accuracy,train/f1,train/auc,train/youden,train/PPV,train/NPV,train/TPR,train/TNR,train/FPR,train/FNR,train/loss,train/primary_loss,train/fair_loss
0.8240165710449219,0.44078946113586426,0.8877355560157382,0.5916597639262786,0.31018519401550293,0.972000002861023,0.7613636255264282,0.8302960991859436,0.169703871011734,0.23863635957241058,0.9473164081573486,0.9473164081573486,0.0,0,85,,,,,,,,,,,,,
,,,,,,,,,,,,,0,85,0.8054844737052917,0.8059102296829224,0.8916112556873386,0.6119252738268994,0.7861210107803345,0.8259398341178894,0.8267215490341187,0.7852036952972412,0.2147962898015976,0.17327843606472015,0.7628665566444397,0.7628665566444397,0.0
0.8964803218841553,0.5454545617103577,0.9063470697867053,0.5998136260095257,0.4545454680919647,0.9664268493652344,0.6818181872367859,0.9179954528808594,0.08200455456972122,0.3181818127632141,0.6265661716461182,0.6265661716461182,0.0,1,171,,,,,,,,,,,,,
,,,,,,,,,,,,,1,171,0.8625228404998779,0.8641618490219116,0.9387449407596797,0.7251569993816949,0.8509427309036255,0.8747649788856506,0.8777981400489807,0.8473588228225708,0.152641162276268,0.1222018375992775,0.5041480660438538,0.5041480660438538,0.0
0.9202898740768433,0.5837838053703308,0.9184484365293021,0.5646614205839717,0.5567010045051575,0.9608745574951172,0.6136363744735718,0.9510250687599182,0.04897494241595268,0.3863636255264282,0.574549674987793,0.574549674987793,0.0,2,257,,,,,,,,,,,,,
,,,,,,,,,,,,,2,257,0.874588668346405,0.875679612159729,0.9458577851441989,0.7492242508845699,0.866260290145874,0.8832525014877319,0.8853060007095337,0.8639183044433594,0.136081725358963,0.1146940290927887,0.4233967065811157,0.4233967065811157,0.0
0.9151138663291931,0.5729166865348816,0.9093238765790019,0.5691913439635536,0.5288461446762085,0.9617169499397278,0.625,0.9441913366317749,0.0558086559176445,0.375,0.532955527305603,0.532955527305603,0.0,3,343,,,,,,,,,,,,,
,,,,,,,,,,,,,3,343,0.8897623419761658,0.8917997479438782,0.9581008913978603,0.7793444365342772,0.8818311095237732,0.8981900215148926,0.901996374130249,0.8773480653762817,0.12265193462371826,0.09800363332033157,0.35520514845848083,0.35520514845848083,0.0
0.909937858581543,0.5953488349914551,0.9360374818803064,0.6555187409401533,0.5039370059967041,0.9713945388793945,0.7272727489471436,0.928246021270752,0.07175398617982864,0.27272728085517883,0.483044296503067,0.483044296503067,0.0,4,429,,,,,,,,,,,,,
,,,,,,,,,,,,,4,429,0.9009140729904175,0.9016690850257874,0.9643008209467626,0.8018981987512539,0.8919597864151001,0.9102086424827576,0.9115920662879944,0.8903061151504517,0.10969387739896774,0.08840792626142502,0.33210644125938416,0.33210644125938416,0.0
